No.,Name,Username,Short Bio
1,Tyler Brooks,@tyler_brooks_99,"Financial analyst. Weekend bouldering & cold brew addict."
2,Emma Sullivan,@emmasull_,"High school teacher. Dog mom to a chaotic retriever."
3,Noah Jenkins,@noah.codes.stuff,"Full-stack dev. Breaking things locally so you don't have to."
4,Olivia Carter,@livvy_carter_,"UX designer & plant parent. Thrifting mid-century decor."
5,Mason Hughes,@mason_h_06,"Kinesiology student. Campus gym rat & volleyball captain."
6,Sophia Bennett,@sophia.bennett.art,"Digital illustrator. Living life in typography. 🎨"
7,Logan Ramires,@logan_r_photo,"PNW photographer. Chasing foggy morning sunrises."
8,Isabella Hayes,@bella.hayes_,"Psych major running on espresso and lo-fi beats."
9,Lucas Foster,@luke_foster_92,"Civil engineer. Amateur woodworker & garage DIYer."
10,Mia Powell,@mia.powell.music,"Indie acoustic singer-songwriter. Bedroom pop demos."
11,Jackson Reed,@j_reed_gaming,"Tabletop RPG game master & retro console collector."
12,Charlotte Gray,@charlotte_gray_,"Urban gardener. Zero-waste tips & apartment composting."
13,Aiden Russell,@aiden_russell_05,"CS student & hackathon participant. Nocturnal coder."
14,Amelia Griffin,@amelia_g_reads,"Book editor. Currently reading four books at once."
15,Elijah Stewart,@elijah.stewart,"Sports analytics writer & spreadsheet enthusiast."
16,Harper Morris,@harper_morris_rx,"ER nurse on night shifts. Powered by iced tea."
17,Benjamin Rogers,@benji_rogers_,"Real estate agent. Amateur astronomer 🔭"
18,Evelyn Perry,@evie_perry_02,"Sociology grad student. Sourdough & pottery experiments."
19,Jameson Wood,@jwood_outdoors,"Fly fishing, camping, and exploring national parks."
20,Abigail Barnes,@abby.barnes.eats,"Foodie exploring diners and hidden culinary gems."
21,Alexander Kelly,@alex_k_tech,"Cybersecurity analyst. Reminder to turn on 2FA!"
22,Emily Ross,@emily_ross_yoga,"Certified yoga instructor & daily mobility advocate."
23,Daniel Henderson,@dan_hendo_92,"High school history teacher & trivia night champion."
24,Elizabeth Coleman,@lizzy_c_creates,"DIY home decor, knitting, and endless crafts."
25,Matthew Jenkins,@matt_j_music,"College radio host spinning 80s alt-rock on vinyl."
26,Sofia Patterson,@sofia.patterson,"Brand strategist by day, aspiring thriller novelist by night."
27,Henry Washington,@henry_w_98,"EV automotive technician. Weekend track driver."
28,Avery Simmons,@avery_simms_,"Social media coordinator & amateur ceramicist."
29,Sebastian Foster,@seb_foster_dev,"Backend systems architect. Precision pour-over coffee."
30,Ella Gonzales,@ella_g_07,"Environmental science major. Thrifted fits only."
31,David Bryant,@davey_bryant,"Amateur chef trying new recipes. Hot sauce collector."
32,Scarlett Alexander,@scarlett_alex_,"Vintage fashion collector and seamstress."
33,Joseph Russell,@joe_russell_05,"University distance runner. 10k training daily."
34,Grace Griffin,@grace.griffin.art,"Watercolor artist painting landscapes and botanicals."
35,Samuel Hayes,@sam_hayes_94,"Small business owner. Making bespoke dining tables."
36,Chloe Myers,@chloe_m_wellness,"Marathon runner & PT assistant. Fueling up on oatmeal."
37,John Ford,@j_ford_automotive,"Motorcycle mechanic and classic bike restorer."
38,Victoria Hamilton,@tori_hamilton_,"True crime podcast co-host & freelance writer."
39,Owen Graham,@owen_g_06,"Esports enthusiast. Competitive Valorant player."
40,Riley Sullivan,@riley_sull_,"Dog trainer & animal shelter volunteer coordinator."
41,Wyatt Wallace,@wyatt_w_country,"Acoustic guitar player & country music listener."
42,Zoey Woods,@zoey.woods.photo,"Portrait and wedding photographer in Colorado."
43,Carter Cole,@carter_c_93,"Financial advisor helping young pros budget."
44,Penelope West,@penny_west_reads,"Librarian and sci-fi book club organizer."
45,Luke Jordan,@luke_jordan_99,"Mountain biker always finding the hardest climb."
46,Layla Owens,@layla_o_music,"Classical pianist experimenting with synth beats."
47,Jayden Reynolds,@jayden_r_tech,"Gadget reviewer and consumer tech blogger."
48,Lillian Fisher,@lilly_fisher_art,"Ceramic artist making handmade coffee mugs."
49,Gabriel Ellis,@gabe_ellis_02,"Film student and indie movie critic."
50,Nora Harrison,@nora_h_91,"Pediatric nurse passionate about child advocacy."
51,Anthony Gibson,@anthony_g_builds,"Contractor and DIY home renovation addict."
52,Hannah McDonald,@hannah_mcd_96,"Vegan recipe creator & nutrition enthusiast."
53,Isaac Cruz,@isaac_cruz_dev,"Mobile app developer building productivity tools."
54,Addison Marshall,@addison_m_,"Interior designer loving natural light & houseplants."
55,Lincoln Ortiz,@lincoln_ortiz_,"Amateur rock climber and bouldering fan."
56,Eleanor Gomez,@eleanor_gomez_89,"History buff and museum archivist."
57,Joshua Murray,@josh_murray_tx,"Texas BBQ pitmaster and smoked meats lover."
58,Stella Freeman,@stella_f_art,"Abstract painter working with acrylics."
59,Christopher Wells,@chris_wells_94,"High school physics teacher & robotics mentor."
60,Maya Webb,@maya_webb_writes,"Freelance copywriter and content strategist."
61,Andrew Simpson,@andrew_s_01,"University student majoring in geology."
62,Leah Stevens,@leah_stevens_rx,"Pharmacist by day, sourdough baker by night."
63,Theodore Tucker,@theo_tucker_,"Jazz saxophonist and vinyl record collector."
64,Hazel Porter,@hazel_p_gardens,"Urban farmer growing organic backyard veggies."
65,Caleb Hunter,@caleb_hunter_95,"Software QA tester. I break your favorite apps."
66,Violet Hicks,@violet_hicks_,"Retro fashion collector and thrift shopper."
67,Ryan Crawford,@ryan_crawford_00,"Drone pilot and aerial videographer."
68,Aurora Boyd,@aurora_boyd_art,"Stained glass artist and workshop instructor."
69,Nathan Mason,@nathan_m_92,"Data analyst who loves spreadsheets too much."
70,Savannah Morales,@savannah_m_tx,"Country music fan, horse rider, sunset chaser."
71,Adrian Kennedy,@adrian_k_fitness,"Personal trainer for functional strength and mobility."
72,Brooklyn Warren,@brooklyn_w_98,"Coffee shop manager and latte art champion."
73,Christian Dixon,@chris_dixon_dev,"Cloud systems architect & Linux hobbyist."
74,Bella Burns,@bella_burns_,"Aspiring pastry chef with a permanent sweet tooth."
75,Hunter Gordon,@hunter_g_outdoors,"Backcountry camper & wilderness survivalist."
76,Claire Shaw,@claire_shaw_reads,"Audiobooks, tea, and rainy afternoon naps."
77,Eli Holmes,@eli_holmes_93,"Electrician & smart home automation hobbyist."
78,Skylar Rice,@skylar_rice_photo,"Landscape photographer exploring coastlines."
79,Aaron Robertson,@aaron_r_91,"Financial analyst by day, PC gamer by night."
80,Lucy Hunt,@lucy_hunt_art,"Digital concept artist for indie video games."
81,Lucas Müller,@lucas_mueller_de,"Automotive engineer. Hiking trails on weekends."
82,Chloé Laurent,@chloe.in.paris,"Fashion student. Museum hopper & film camera lover."
83,Matteo Rossi,@matteo_r_milano,"Industrial design student. Espresso purist & synth fan."
